gauge_id,gauge_name,gauge_start,gauge_end,gauge_pc,gauge_lat,gauge_long
1611400,"Nawiliwili, HI",1955,2015,97,21.9544,-159.3561
1612340,"Honolulu, HI",1905,2015,88,21.3067,-157.867
1612480,"Mokuoloe, HI",1957,2015,62,21.4331,-157.79
1615680,"Kahului, HI",1947,2015,82,20.895,-156.4767
1617760,"Hilo, HI",1927,2015,76,19.7303,-155.0558
1619000,Johnston Atoll,1947,2003,93,16.7383,-169.53
1619910,Midway Atoll,1947,2015,95,28.2117,-177.36
1630000,"Apra Harbor, Guam",1993,2015,95,13.4387,144.6539
1770000,"Pago Pago, American Samoa",1948,2009,89,-14.28,-170.69
1820000,Kwajalein,1946,2015,96,8.7316,167.7362
1840000,Chuuk,1947,1995,91,7.4467,151.847
1890000,Wake Island,1950,2015,93,19.29,166.618
2695540,"Bermuda, Atlantic Ocean",1932,2015,30,32.3734,-64.7033
8410140,"Eastport, ME",1929,2015,95,44.9046,-66.9829
8411250,"Cutler, ME",1979,2010,94,44.6417,-67.2967
8413320,"Bar Harbor, ME",1947,2015,91,44.3917,-68.205
8418150,"Portland, ME",1912,2015,99,43.6567,-70.2467
8419870,"Seavey Island, ME",1926,2001,74,43.08,-70.7417
8443970,"Boston, MA",1921,2015,99,42.3548,-71.0534
8447930,"Woods Hole, MA",1932,2015,95,41.5233,-70.6717
8449130,"Nantucket Island, MA",1965,2015,96,41.285,-70.0967
8452660,"Newport, RI",1930,2015,87,41.505,-71.3267
8454000,"Providence, RI",1938,2015,87,41.8071,-71.4012
8461490,"New London, CT",1938,2015,97,41.3614,-72.09
8467150,"Bridgeport, CT",1964,2015,97,41.1733,-73.1817
8510560,"Montauk, NY",1947,2015,93,41.0483,-71.96
8514560,"Port Jefferson, NY",1957,1992,98,40.95,-73.0767
8516945,"Kings Point, NY",1931,2015,20,40.8103,-73.7649
8518750,"The Battery, NY",1856,2015,90,40.7006,-74.0142
8519483,"Bergen Point, NY",1981,2015,94,40.6367,-74.1417
8531680,"Sandy Hook, NJ",1932,2015,99,40.4669,-74.0094
8534720,"Atlantic City, NJ",1911,2015,91,39.355,-74.4183
8536110,"Cape May, NJ",1965,2015,91,38.9683,-74.96
8545240,"Philadelphia, PA",1900,2015,22,39.9333,-75.1417
8551910,"Reedy Point, DE",1956,2015,60,39.5583,-75.5733
8557380,"Lewes, DE",1919,2015,62,38.7817,-75.12
8570283,"Ocean City Inlet, MD",1975,2015,35,38.3283,-75.0917
8571892,"Cambridge, MD",1943,2015,60,38.5733,-76.0683
8573364,"Tolchester Beach, MD",1986,2014,75,39.2133,-76.245
8573927,"Chesapeake City, MD",1972,2015,53,39.5267,-75.81
8574680,"Baltimore, MD",1902,2015,100,39.2667,-76.5783
8575512,"Annapolis, MD",1928,2015,97,38.9833,-76.4816
8577330,"Solomons Island, MD",1937,2015,66,38.3167,-76.4517
8594900,"Washington, DC",1924,2015,90,38.8733,-77.0217
8631044,"Wachapreague, VA",1978,2015,73,37.6078,-75.6858
8632200,"Kiptopeke, VA",1951,2015,99,37.1652,-75.9884
8635150,"Colonial Beach, VA",1972,2010,88,38.2517,-76.96
8635750,"Lewisetta, VA",1974,2015,99,37.9961,-76.4644
8637624,"Gloucester Point, VA",1950,2003,97,37.2467,-76.5
8638610,"Sewells Point, VA",1927,2015,99,36.9467,-76.33
8638660,"Portsmouth, VA",1935,1987,100,36.8217,-76.2933
8638863,"Chesapeake Bay Bridge Tunnel, VA",1975,2015,99,36.9667,-76.1133
8651370,"Duck, NC",1978,2015,98,36.1833,-75.7467
8652587,"Oregon Inlet Marina, NC",1977,2015,59,35.795,-75.5483
8656483,"Beaufort, NC",1953,2015,71,34.72,-76.67
8658120,"Wilmington, NC",1935,2015,97,34.2267,-77.9533
8659084,"Southport, NC",1933,2008,16,33.915,-78.0183
8661070,"Springmaid Pier, SC",1957,2015,64,33.655,-78.9183
