Station_Name,STATION_ID,Lat,Long,error_in_m,datum_period,station_datum,navd88,mhhw,mhw,mtl,msl,dtl,mlw,mllw,gt,mn
"SOUTH BEACH CAUSEWAY, INDIAN RIVER",8722219,27.4567,-80.3233,0.0295,03/01/2000 - 03/31/2000,NA,0.012,-0.031,-0.075,-0.293,-0.284,-0.292,-0.511,-0.553,0.523,0.436
"NORTH BEACH CAUSEWAY, INDIAN RIVER",8722208,27.4717,-80.325,0.0292,05/01/1999 - 05/31/1999,NA,0.002,-0.015,-0.055,-0.284,-0.271,-0.288,-0.513,-0.561,0.546,0.458
"I-295 BRIDGE, WEST END, ST JOHNS RIVER",8720357,30.1917,-81.6917,0.0103,02/01/2004 - 01/31/2006; 07/01/2006 - 06/30/2007; 07/01/2008 - 06/30/2010,NA,0,0.112,0.102,-0.032,-0.035,-0.043,-0.168,-0.198,0.312,0.27
"RED BAY POINT, ST JOHNS RIVER",8720503,29.9783,-81.6283,0.0122,11/01/2003 - 10/31/2005,NA,0.002,0.13,0.115,-0.017,-0.011,-0.022,-0.149,-0.175,0.307,0.266
"WELAKA, ST. JOHNS RIVER",8720832,29.4767,-81.675,0.0253,10/01/2003 - 03/31/2004,NA,-0.003,0.151,0.146,0.081,0.079,0.077,0.016,0.003,0.148,0.129
"BUFFALO BLUFF, ST. JOHNS RIVER",8720767,29.595,-81.6817,0.0197,10/01/2003 - 09/30/2004,NA,0.001,0.174,0.167,0.009,0.006,0,-0.148,-0.172,0.347,0.316
"SOUTHBANK RIVERWALK, ST JOHNS RIVER",8720226,30.32,-81.6583,0.0111,04/01/2002 - 03/31/2005,NA,-0.002,0.189,0.174,-0.105,-0.08,-0.114,-0.384,-0.418,0.608,0.558
"PALATKA, ST. JOHNS RIVER",8720774,29.6433,-81.6317,0.0205,10/01/2003 - 09/30/2004,NA,0,0.19,0.179,-0.014,-0.014,-0.022,-0.208,-0.236,0.427,0.388
"RACY POINT, ST JOHNS RIVER",8720625,29.8017,-81.5483,0.0229,05/01/2003 - 07/31/2003,NA,-0.002,0.193,0.178,0.005,0.009,0.001,-0.167,-0.191,0.385,0.347
"BINGS LANDING, MATANZAS RIVER",8720757,29.615,-81.205,0.0207,10/01/2003 - 09/30/2004,NA,0,0.201,0.157,-0.066,-0.05,-0.066,-0.29,-0.334,0.536,0.449
"NEW SMYRNA BEACH, MOSQUITO LAGOON",8721164,29.0233,-80.9183,0.0248,04/01/1999 - 06/30/1999,NA,0.005,0.24,0.173,-0.196,-0.191,-0.184,-0.566,-0.609,0.849,0.74
"PERKY LAKE, SUGERLOAF KEY",8724353,24.655,-81.54,0.0301,01/01/1974 - 02/28/1974,NA,0.484,0.449,0.411,0.36,0.358,0.37,0.308,0.29,0.16,0.103
